,ZIP,total,me_total,vita_eligible,vita_per_capita,id
0,00601,5555,255,5340,0.9612961296129613,8600000US00601
1,00602,12901,432,11655,0.903418339663592,8600000US00602
2,00603,19431,496,17293,0.8899696361484226,8600000US00603
3,00606,1983,181,1921,0.9687342410489158,8600000US00606
4,00610,8864,348,8072,0.9106498194945848,8600000US00610
5,00612,23327,655,21113,0.9050885240279505,8600000US00612
6,00616,3478,338,3214,0.9240943070730305,8600000US00616
7,00617,8097,349,7437,0.9184883290107447,8600000US00617
8,00622,2282,305,2144,0.9395267309377738,8600000US00622
9,00623,13929,557,12447,0.8936032737454233,8600000US00623
10,00624,7312,273,6804,0.9305251641137856,8600000US00624
11,00627,11349,379,10178,0.89681910300467,8600000US00627
12,00631,608,97,561,0.9226973684210527,8600000US00631
13,00637,7032,363,6437,0.915386803185438,8600000US00637
14,00638,5850,250,5505,0.941025641025641,8600000US00638
15,00641,9459,365,8949,0.9460830954646369,8600000US00641
16,00646,11860,493,8860,0.7470489038785835,8600000US00646
17,00647,1979,217,1912,0.966144517433047,8600000US00647
18,00650,5092,272,4835,0.949528672427337,8600000US00650
19,00652,1401,212,1284,0.9164882226980728,8600000US00652
20,00653,3644,266,3590,0.9851811196487377,8600000US00653
21,00656,6521,266,6135,0.9408066247508051,8600000US00656
22,00659,13914,438,12191,0.8761678884576686,8600000US00659
23,00660,6291,250,5642,0.8968367509140042,8600000US00660
24,00662,14313,494,13185,0.9211905260951583,8600000US00662
25,00664,5064,252,4819,0.9516192733017378,8600000US00664
26,00667,8046,434,7588,0.9430773054934128,8600000US00667
27,00669,9701,303,9143,0.9424801566848778,8600000US00669
28,00670,2696,233,2592,0.9614243323442137,8600000US00670
29,00674,14885,483,12956,0.8704064494457507,8600000US00674
30,00676,13523,421,12189,0.901353250018487,8600000US00676
31,00677,5467,365,4775,0.8734223522955917,8600000US00677
32,00678,8911,447,8292,0.9305352934575244,8600000US00678
33,00680,18449,583,17009,0.9219469889966936,8600000US00680
34,00682,11640,511,10056,0.8639175257731959,8600000US00682
35,00683,10877,448,10151,0.9332536545003218,8600000US00683
36,00685,13881,456,12873,0.9273827534039334,8600000US00685
37,00687,9691,332,8711,0.898875245072748,8600000US00687
38,00688,4112,258,3774,0.9178015564202334,8600000US00688
39,00690,2343,278,2041,0.8711054204011951,8600000US00690
40,00692,11580,553,9588,0.827979274611399,8600000US00692
41,00693,19633,486,17260,0.8791320735496359,8600000US00693
42,00694,16,27,16,1.0,8600000US00694
43,00698,11593,437,10790,0.9307340636591046,8600000US00698
44,00703,8597,420,7792,0.9063626846574386,8600000US00703
45,00704,2476,332,2337,0.9438610662358643,8600000US00704
46,00705,8750,281,7908,0.9037714285714286,8600000US00705
47,00707,3874,315,3618,0.9339184305627258,8600000US00707
48,00714,6057,319,5680,0.9377579659897639,8600000US00714
49,00715,979,174,928,0.947906026557712,8600000US00715
50,00716,11180,417,9622,0.860644007155635,8600000US00716
51,00717,6760,357,6180,0.9142011834319527,8600000US00717
52,00718,8211,471,7527,0.91669711362806,8600000US00718
53,00719,8615,369,7718,0.8958792803250145,8600000US00719
54,00720,6789,266,6428,0.9468257475327736,8600000US00720
55,00723,6120,331,5674,0.927124183006536,8600000US00723
56,00725,30383,665,25481,0.8386597768488958,8600000US00725
57,00727,19338,732,14795,0.7650739476678043,8600000US00727
58,00728,13430,456,11973,0.8915115413253909,8600000US00728
59,00729,16608,427,14280,0.8598265895953757,8600000US00729
60,00730,11748,458,10724,0.912836227442969,8600000US00730
61,00731,4265,319,3873,0.9080890973036342,8600000US00731
62,00735,4326,269,3994,0.9232547387887193,8600000US00735
63,00736,17321,527,14766,0.8524911956584493,8600000US00736
64,00738,11672,486,10445,0.894876627827279,8600000US00738
65,00739,11870,377,10552,0.8889637742207245,8600000US00739
66,00740,740,136,724,0.9783783783783784,8600000US00740
67,00741,1336,187,1276,0.9550898203592815,8600000US00741
68,00745,15782,496,13644,0.8645292104929667,8600000US00745
69,00751,7751,396,7218,0.931234679396207,8600000US00751
70,00754,13580,372,12165,0.8958026509572902,8600000US00754
71,00757,7368,301,6688,0.9077090119435396,8600000US00757
72,00765,2376,236,2302,0.9688552188552189,8600000US00765
73,00766,8100,291,7306,0.9019753086419753,8600000US00766
74,00767,11687,380,10764,0.9210233592880979,8600000US00767
75,00769,13130,358,11676,0.8892612338156892,8600000US00769
76,00771,11904,493,10273,0.8629872311827957,8600000US00771
77,00772,6633,293,6316,0.952208653701191,8600000US00772
78,00773,6660,310,6049,0.9082582582582582,8600000US00773
79,00775,502,85,453,0.9023904382470119,8600000US00775
80,00777,13313,494,11539,0.8667467888530008,8600000US00777
81,00778,14645,471,10601,0.7238648002731307,8600000US00778
82,00780,4030,352,3581,0.8885856079404466,8600000US00780
83,00782,4906,287,4692,0.9563799429270281,8600000US00782
84,00783,10624,383,9836,0.9258283132530121,8600000US00783
85,00784,13902,535,12569,0.9041145158969932,8600000US00784
86,00786,81,73,53,0.654320987654321,8600000US00786
87,00791,16480,529,14441,0.8762742718446602,8600000US00791
88,00794,8863,332,8234,0.9290308022114409,8600000US00794
89,00795,14933,475,13521,0.9054443179535258,8600000US00795
90,00901,3047,216,2204,0.7233344273055464,8600000US00901
91,00906,102,58,25,0.24509803921568626,8600000US00906
92,00907,8504,511,5335,0.6273518344308561,8600000US00907
93,00909,2353,249,1936,0.8227794305142372,8600000US00909
94,00911,3757,308,2631,0.7002927867979771,8600000US00911
95,00912,2734,302,2260,0.8266276517922458,8600000US00912
96,00913,3186,323,2816,0.8838669177652229,8600000US00913
97,00915,10772,513,10295,0.9557185295209804,8600000US00915
98,00917,8391,480,7417,0.8839232511023716,8600000US00917
99,00918,7885,428,5772,0.7320228281547242,8600000US00918
100,00920,6947,360,5806,0.8357564416294804,8600000US00920
101,00921,13656,503,12014,0.879759812536614,8600000US00921
102,00923,10259,520,9347,0.9111024466322254,8600000US00923
103,00924,19540,798,16744,0.8569089048106449,8600000US00924
104,00925,3412,288,3171,0.92936694021102,8600000US00925
105,00926,36288,965,24980,0.6883818342151675,8600000US00926
106,00927,6043,415,4115,0.6809531689558167,8600000US00927
107,00934,29,33,18,0.6206896551724138,8600000US00934
108,00936,0,14,0,,8600000US00936
109,00949,26044,486,21326,0.818845031485179,8600000US00949
110,00950,0,14,0,,8600000US00950
111,00951,0,14,0,,8600000US00951
112,00952,2832,265,2697,0.9523305084745762,8600000US00952
113,00953,22037,504,17579,0.7977038616871625,8600000US00953
114,00956,24307,639,20848,0.8576953141070474,8600000US00956
115,00957,14578,542,12148,0.8333104678282344,8600000US00957
116,00959,17919,669,14165,0.790501702103912,8600000US00959
117,00960,0,14,0,,8600000US00960
118,00961,11079,453,8358,0.7544002166260493,8600000US00961
119,00962,6800,261,6256,0.92,8600000US00962
120,00965,2694,212,2566,0.9524870081662955,8600000US00965
121,00966,5924,371,3510,0.5925050641458474,8600000US00966
122,00968,1820,177,1025,0.5631868131868132,8600000US00968
123,00969,14606,531,8692,0.59509790497056,8600000US00969
124,00971,8828,430,7121,0.8066379700951518,8600000US00971
125,00976,21565,694,16747,0.7765824252260608,8600000US00976
126,00979,8662,452,5962,0.6882936966058647,8600000US00979
127,00982,5809,333,5132,0.8834567051127561,8600000US00982
128,00983,13143,584,11340,0.8628167085140379,8600000US00983
129,00985,12167,441,10284,0.8452371167913207,8600000US00985
130,00987,20296,701,15121,0.7450236499802917,8600000US00987
131,01001,6871,380,3102,0.4514626691893465,8600000US01001
132,01002,10182,595,5072,0.4981339618935376,8600000US01002
133,01003,23,31,19,0.8260869565217391,8600000US01003
134,01005,1883,187,693,0.3680297397769517,8600000US01005
135,01007,5667,332,1613,0.28463031586377274,8600000US01007
136,01008,453,70,120,0.26490066225165565,8600000US01008
137,01009,253,132,56,0.22134387351778656,8600000US01009
138,01010,1494,110,641,0.42904953145917,8600000US01010
139,01011,511,62,204,0.39921722113502933,8600000US01011
140,01012,269,57,103,0.3828996282527881,8600000US01012
141,01013,9246,518,5560,0.6013411204845338,8600000US01013
142,01020,13109,524,6654,0.5075902052025326,8600000US01020
143,01022,1094,144,733,0.670018281535649,8600000US01022
144,01026,442,69,176,0.39819004524886875,8600000US01026
145,01027,8180,302,3701,0.45244498777506115,8600000US01027
146,01028,5762,304,1943,0.3372093023255814,8600000US01028
147,01029,239,52,90,0.37656903765690375,8600000US01029
148,01030,4797,363,1711,0.35668125912028353,8600000US01030
149,01031,560,104,332,0.5928571428571429,8600000US01031
150,01032,212,49,86,0.4056603773584906,8600000US01032
151,01033,2584,184,840,0.32507739938080493,8600000US01033
152,01034,850,94,233,0.2741176470588235,8600000US01034
153,01035,2256,167,777,0.34441489361702127,8600000US01035
154,01036,2025,158,543,0.26814814814814814,8600000US01036
155,01037,193,64,45,0.23316062176165803,8600000US01037
156,01038,1082,120,374,0.3456561922365989,8600000US01038
157,01039,599,91,183,0.3055091819699499,8600000US01039
158,01040,15464,478,9764,0.6314019658561821,8600000US01040
159,01050,1025,111,439,0.42829268292682926,8600000US01050
160,01053,588,149,320,0.54421768707483,8600000US01053
161,01054,727,94,238,0.32737276478679506,8600000US01054
162,01056,8310,313,3448,0.4149217809867629,8600000US01056
163,01057,3603,188,1338,0.3713572023313905,8600000US01057
164,01060,6682,354,2997,0.44851840766237655,8600000US01060
165,01062,4082,290,1601,0.39220970112689857,8600000US01062
166,01063,0,13,0,,8600000US01063
167,01066,30,46,30,1.0,8600000US01066
168,01068,620,51,176,0.2838709677419355,8600000US01068
169,01069,3578,274,1726,0.4823923979877026,8600000US01069
170,01070,284,35,138,0.4859154929577465,8600000US01070
171,01071,565,86,184,0.3256637168141593,8600000US01071
172,01072,640,80,198,0.309375,8600000US01072
173,01073,2336,195,726,0.3107876712328767,8600000US01073
174,01074,94,65,21,0.22340425531914893,8600000US01074
175,01075,6993,333,2833,0.40511940511940514,8600000US01075
176,01077,3869,202,1588,0.4104419746704575,8600000US01077
177,01079,232,83,160,0.6896551724137931,8600000US01079
178,01080,843,129,330,0.3914590747330961,8600000US01080
